,Name,Episodes,Release,Members,Score
282,Hinamatsuri (TV),12,Apr 2018 - Jun 2018,505567,8.13
283,Skip to Loafer,12,Apr 2023 - Jun 2023,238140,8.13
284,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,13,Jul 2022 - Sep 2022,593877,8.12
285,Jigokuraku,13,Apr 2023 - Jul 2023,630534,8.12
286,Diamond no Ace,75,Oct 2013 - Mar 2015,242248,8.11
287,Fullmetal Alchemist,51,Oct 2003 - Oct 2004,1457819,8.11
288,Kidou Senshi Gundam 00,25,Oct 2007 - Mar 2008,218540,8.11
289,Kono Subarashii Sekai ni Shukufuku wo!,10,Jan 2016 - Mar 2016,1928044,8.11
290,Kuragehime,11,Oct 2010 - Dec 2010,235010,8.11
291,Mirai Shounen Conan,26,Apr 1978 - Oct 1978,49923,8.11
292,Kamisama Hajimemashita,13,Oct 2012 - Dec 2012,646526,8.1
293,Durarara!!,24,Jan 2010 - Jun 2010,1393870,8.1
294,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,12,Apr 2020 - Jun 2020,206488,8.1
295,Initial D Fifth Stage,14,Nov 2012 - May 2013,146980,8.1
296,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,24,Apr 2014 - Sep 2014,1197228,8.1
297,Tsurune: Tsunagari no Issha,13,Jan 2023 - Mar 2023,52149,8.1
298,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,13,Jan 2024 -,254232,8.1
299,Tsukimonogatari,4,Dec 2014 - Dec 2014,414453,8.09
300,Uchouten Kazoku 2,12,Apr 2017 - Jun 2017,64045,8.09
301,Zankyou no Terror,11,Jul 2014 - Sep 2014,1153675,8.09
302,Overlord IV,13,Jul 2022 - Sep 2022,505556,8.09
303,Serial Experiments Lain,13,Jul 1998 - Sep 1998,760141,8.09
304,Boku no Hero Academia 2nd Season,25,Apr 2017 - Sep 2017,2485919,8.09
305,Gin no Saji,11,Jul 2013 - Sep 2013,291172,8.09
306,Ansatsu Kyoushitsu,22,Jan 2015 - Jun 2015,1986461,8.08
307,Fumetsu no Anata e Season 2,20,Oct 2022 - Mar 2023,267351,8.08
308,Hikaru no Go,75,Oct 2001 - Mar 2003,137186,8.08
309,Shokugeki no Souma: Ni no Sara,13,Jul 2016 - Sep 2016,1124530,8.08
310,Skip Beat!,25,Oct 2008 - Mar 2009,267406,8.08
311,Spy x Family Season 2,12,Oct 2023 - Dec 2023,415929,8.08
312,Kanata no Astra,12,Jul 2019 - Sep 2019,298234,8.08
313,Kidou Senshi Gundam 00 Second Season,25,Oct 2008 - Mar 2009,150354,8.08
314,Kimi wa Houkago Insomnia,13,Apr 2023 - Jul 2023,195048,8.07
315,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,12,Jan 2024 -,169149,8.07
316,No Game No Life,12,Apr 2014 - Jun 2014,2367854,8.07
317,Sakura-sou no Pet na Kanojo,24,Oct 2012 - Mar 2013,1234673,8.07
318,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,10,Apr 2022 - Jun 2022,149671,8.07
319,Hyouka,22,Apr 2012 - Sep 2012,1355824,8.07
320,Toradora!,25,Oct 2008 - Mar 2009,2179436,8.07
321,Uma Musume: Pretty Derby Season 2,13,Jan 2021 - Mar 2021,49964,8.07
322,Yowamushi Pedal: Grande Road,24,Oct 2014 - Mar 2015,138752,8.06
323,Kodomo no Omocha (TV),102,Apr 1996 - Mar 1998,68175,8.06
324,Kuroko no Basket,25,Apr 2012 - Sep 2012,1190324,8.06
325,Kuroshitsuji: Book of Circus,10,Jul 2014 - Sep 2014,399724,8.06
326,Mahoutsukai no Yome,24,Oct 2017 - Mar 2018,915159,8.06
327,Angel Beats!,13,Apr 2010 - Jun 2010,2054473,8.06
328,City Hunter 2,63,Apr 1988 - Jul 1989,26566,8.06
329,Darker than Black: Kuro no Keiyakusha,25,Apr 2007 - Sep 2007,939001,8.06
330,5-toubun no Hanayome ∬,12,Jan 2021 - Mar 2021,699241,8.05
331,Dorohedoro,12,Jan 2020 - Mar 2020,536386,8.05
332,Durarara!!x2 Ketsu,12,Jan 2016 - Mar 2016,375925,8.05
333,Gosick,24,Jan 2011 - Jul 2011,544446,8.05
334,Tsuki ga Kirei,12,Apr 2017 - Jun 2017,536636,8.05
335,World Trigger 2nd Season,12,Jan 2021 - Apr 2021,147149,8.05
336,Kidou Senshi Gundam: Tekketsu no Orphans,25,Oct 2015 - Mar 2016,240133,8.05
337,"Komi-san wa, Comyushou desu. 2nd Season",12,Apr 2022 - Jun 2022,466381,8.05
338,Koukyoushihen Eureka Seven,50,Apr 2005 - Apr 2006,433183,8.05
339,Mairimashita! Iruma-kun 2nd Season,21,Apr 2021 - Sep 2021,310942,8.05
340,Shijou Saikyou no Deshi Kenichi,50,Oct 2006 - Sep 2007,300035,8.05
